,FamilyType
5229,Female Head
5230,Female Head
5231,Female Head
5307,Female Head
5256,Female Head
18608,Female Head
5236,Female Head
5237,Female Head
5238,Female Head
5239,Female Head
5240,Female Head
9250,Female Head
16145,Female Head
5245,Female Head
5246,Female Head
5247,Female Head
5248,Female Head
5250,Female Head
5254,Female Head
5235,Female Head
5336,Female Head
16092,Female Head
5127,Female Head
5002,Female Head
5003,Female Head
5004,Female Head
5005,Female Head
5006,Female Head
5007,Female Head
5008,Female Head
5009,Female Head
5010,Female Head
5011,Female Head
5012,Female Head
5013,Female Head
5369,Female Head
5001,Female Head
5368,Female Head
5366,Female Head
9340,Female Head
9339,Female Head
5365,Female Head
5029,Female Head
5030,Female Head
5031,Female Head
5032,Female Head
5033,Female Head
5034,Female Head
5035,Female Head
5364,Female Head
5037,Female Head
5367,Female Head
5038,Female Head
5000,Female Head
4998,Female Head
4956,Female Head
4957,Female Head
4958,Female Head
4959,Female Head
5381,Female Head
4963,Female Head
4964,Female Head
16172,Female Head
4968,Female Head
4969,Female Head
4970,Female Head
16171,Female Head
4974,Female Head
5370,Female Head
4976,Female Head
4978,Female Head
4979,Female Head
4980,Female Head
9352,Female Head
4985,Female Head
9351,Female Head
4989,Female Head
4992,Female Head
4993,Female Head
16170,Female Head
16169,Female Head
16168,Female Head
5371,Female Head
4977,Female Head
4637,Female Head
5039,Female Head
5044,Female Head
5086,Female Head
5090,Female Head
9315,Female Head
9314,Female Head
5093,Female Head
5094,Female Head
16080,Female Head
9208,Female Head
5098,Female Head
5099,Female Head
5100,Female Head
5101,Female Head
5104,Female Head
5085,Female Head
5105,Female Head
5107,Female Head
5344,Female Head
5343,Female Head
5111,Female Head
5112,Female Head
5342,Female Head
5114,Female Head
5120,Female Head
5122,Female Head
5123,Female Head
5124,Female Head
5125,Female Head
5126,Female Head
5106,Female Head
5040,Female Head
5084,Female Head
16075,Female Head
5045,Female Head
5046,Female Head
5047,Female Head
5050,Female Head
5051,Female Head
9334,Female Head
5362,Female Head
5054,Female Head
5057,Female Head
5058,Female Head
